"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","5535","0.2","0.1","0.3","2.1","1.7","2.4","37.2","36","38.5","16","15","17","4.3","3.8","4.9","0.66","1.33"
"5","0", , , , , , , , , , , , , , , , , 
"6","0", , , , , , , , , , , , , , , , , 
"7","0", , , , , , , , , , , , , , , , , 
"8","0", , , , , , , , , , , , , , , , , 
"9","2856","0.2","0","0.3","2.1","1.6","2.6","36.1","34.4","37.9","15.7","14.3","17","4.8","4","5.6","0.64","1.35"
"10","2679","0.2","0","0.4","2","1.5","2.6","38.4","36.5","40.3","16.3","14.9","17.7","3.8","3.1","4.6","0.68","1.31"
"","Height","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","5532","1.1","0.8","1.4","3.3","2.8","3.7","31.2","30","32.4","11.9","11.1","12.8","2.4","2","2.8","0.4","1.35"
"5","0", , , , , , , , , , , , , , , , , 
"6","0", , , , , , , , , , , , , , , , , 
"7","0", , , , , , , , , , , , , , , , , 
"8","0", , , , , , , , , , , , , , , , , 
"9","2856","1.4","1","1.9","3.4","2.7","4","30.5","28.8","32.2","12.9","11.6","14.1","2.5","1.9","3.1","0.36","1.37"
"10","2676","0.7","0.4","1.1","3.1","2.5","3.8","31.9","30.1","33.7","10.9","9.7","12.2","2.2","1.6","2.8","0.44","1.33"
"11","0", , , , , , , , , , , , , , , , , 
"12","0", , , , , , , , , , , , , , , , , 
"13","0", , , , , , , , , , , , , , , , , 
"14","0", , , , , , , , , , , , , , , , , 
"15","0", , , , , , , , , , , , , , , , , 
"16","0", , , , , , , , , , , , , , , , , 
"17","0", , , , , , , , , , , , , , , , , 
"18","0", , , , , , , , , , , , , , , , , 
"19","0", , , , , , , , , , , , , , , , , 
"","BMI","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","5506","1.4","1.1","1.7","4.7","4.1","5.3","38","36.7","39.3","17.4","16.4","18.4","4.7","4.2","5.3","0.54","1.53"
"5","0", , , , , , , , , , , , , , , , , 
"6","0", , , , , , , , , , , , , , , , , 
"7","0", , , , , , , , , , , , , , , , , 
"8","0", , , , , , , , , , , , , , , , , 
"9","2836","1.2","0.8","1.7","4.7","3.9","5.5","36.4","34.6","38.2","17.3","15.9","18.8","5.7","4.9","6.6","0.53","1.54"
"10","2670","1.6","1.1","2.1","4.7","3.9","5.5","39.7","37.8","41.6","17.5","16","19","3.6","2.9","4.4","0.54","1.51"
"11","0", , , , , , , , , , , , , , , , , 
"12","0", , , , , , , , , , , , , , , , , 
"13","0", , , , , , , , , , , , , , , , , 
"14","0", , , , , , , , , , , , , , , , , 
"15","0", , , , , , , , , , , , , , , , , 
"16","0", , , , , , , , , , , , , , , , , 
"17","0", , , , , , , , , , , , , , , , , 
"18","0", , , , , , , , , , , , , , , , , 
"19","0", , , , , , , , , , , , , , , , , 
"","Set 2:","Males","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","2819","0.1","0","0.2","1.5","1.1","2","37.3","35.5","39.1","16.7","15.3","18.1","4.4","3.6","5.1","0.69","1.29"
"5","0", , , , , , , , , , , , , , , , , 
"6","0", , , , , , , , , , , , , , , , , 
"7","0", , , , , , , , , , , , , , , , , 
"8","0", , , , , , , , , , , , , , , , , 
"9","1477","0.1","0","0.4","1.4","0.8","2.1","37.9","35.4","40.4","17.4","15.4","19.4","5.1","3.9","6.2","0.7","1.34"
"10","1342","0","0","0","1.6","0.9","2.4","36.6","34","39.2","16","14","18","3.6","2.5","4.6","0.69","1.24"
"","Height","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","2821","0.9","0.6","1.3","2.9","2.3","3.6","32.1","30.4","33.9","10.6","9.4","11.7","2.4","1.8","3","0.42","1.3"
"5","0", , , , , , , , , , , , , , , , , 
"6","0", , , , , , , , , , , , , , , , , 
"7","0", , , , , , , , , , , , , , , , , 
"8","0", , , , , , , , , , , , , , , , , 
"9","1479","1.3","0.7","1.9","2.6","1.8","3.5","30.8","28.4","33.2","12.2","10.5","13.9","2.4","1.6","3.2","0.4","1.33"
"10","1342","0.5","0.1","0.9","3.3","2.3","4.3","33.5","31","36.1","8.8","7.2","10.3","2.5","1.6","3.3","0.45","1.26"
"11","0", , , , , , , , , , , , , , , , , 
"12","0", , , , , , , , , , , , , , , , , 
"13","0", , , , , , , , , , , , , , , , , 
"14","0", , , , , , , , , , , , , , , , , 
"15","0", , , , , , , , , , , , , , , , , 
"16","0", , , , , , , , , , , , , , , , , 
"17","0", , , , , , , , , , , , , , , , , 
"18","0", , , , , , , , , , , , , , , , , 
"19","0", , , , , , , , , , , , , , , , , 
"","BMI","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","2798","1.1","0.7","1.6","4.8","3.9","5.6","37.5","35.6","39.3","18.6","17.2","20.1","5.4","4.5","6.3","0.57","1.55"
"5","0", , , , , , , , , , , , , , , , , 
"6","0", , , , , , , , , , , , , , , , , 
"7","0", , , , , , , , , , , , , , , , , 
"8","0", , , , , , , , , , , , , , , , , 
"9","1464","0.8","0.3","1.3","4.6","3.5","5.8","37.1","34.6","39.6","18.9","16.9","21","6.8","5.5","8.2","0.59","1.57"
"10","1334","1.5","0.8","2.2","4.9","3.7","6.1","37.9","35.2","40.5","18.3","16.2","20.4","3.8","2.8","4.9","0.54","1.52"
"11","0", , , , , , , , , , , , , , , , , 
"12","0", , , , , , , , , , , , , , , , , 
"13","0", , , , , , , , , , , , , , , , , 
"14","0", , , , , , , , , , , , , , , , , 
"15","0", , , , , , , , , , , , , , , , , 
"16","0", , , , , , , , , , , , , , , , , 
"17","0", , , , , , , , , , , , , , , , , 
"18","0", , , , , , , , , , , , , , , , , 
"19","0", , , , , , , , , , , , , , , , , 
"","Set 3:","Females","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","2716","0.3","0.1","0.6","2.6","2","3.2","37.2","35.4","39","15.2","13.8","16.6","4.3","3.5","5.1","0.62","1.36"
"5","0", , , , , , , , , , , , , , , , , 
"6","0", , , , , , , , , , , , , , , , , 
"7","0", , , , , , , , , , , , , , , , , 
"8","0", , , , , , , , , , , , , , , , , 
"9","1379","0.2","0","0.5","2.8","1.9","3.7","34.2","31.7","36.8","13.9","12","15.7","4.5","3.4","5.6","0.56","1.36"
"10","1337","0.4","0.1","0.8","2.4","1.5","3.3","40.2","37.6","42.9","16.6","14.6","18.6","4.1","3","5.2","0.68","1.37"
"","Height","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","2711","1.3","0.8","1.7","3.6","2.9","4.3","30.2","28.5","32","13.4","12.1","14.7","2.3","1.7","2.9","0.38","1.4"
"5","0", , , , , , , , , , , , , , , , , 
"6","0", , , , , , , , , , , , , , , , , 
"7","0", , , , , , , , , , , , , , , , , 
"8","0", , , , , , , , , , , , , , , , , 
"9","1377","1.6","0.9","2.3","4.1","3.1","5.2","30.2","27.7","32.7","13.7","11.8","15.5","2.7","1.8","3.6","0.32","1.42"
"10","1334","1","0.4","1.5","3","2","4","30.3","27.8","32.8","13.1","11.3","15","1.9","1.2","2.7","0.43","1.39"
"11","0", , , , , , , , , , , , , , , , , 
"12","0", , , , , , , , , , , , , , , , , 
"13","0", , , , , , , , , , , , , , , , , 
"14","0", , , , , , , , , , , , , , , , , 
"15","0", , , , , , , , , , , , , , , , , 
"16","0", , , , , , , , , , , , , , , , , 
"17","0", , , , , , , , , , , , , , , , , 
"18","0", , , , , , , , , , , , , , , , , 
"19","0", , , , , , , , , , , , , , , , , 
"","BMI","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","2708","1.7","1.2","2.2","4.7","3.8","5.5","38.6","36.7","40.4","16.2","14.8","17.6","4","3.3","4.8","0.5","1.51"
"5","0", , , , , , , , , , , , , , , , , 
"6","0", , , , , , , , , , , , , , , , , 
"7","0", , , , , , , , , , , , , , , , , 
"8","0", , , , , , , , , , , , , , , , , 
"9","1372","1.7","1","2.4","4.7","3.6","5.9","35.7","33.1","38.3","15.7","13.7","17.6","4.6","3.4","5.7","0.46","1.51"
"10","1336","1.7","1","2.5","4.6","3.4","5.7","41.5","38.9","44.2","16.7","14.7","18.7","3.4","2.4","4.5","0.54","1.5"
"11","0", , , , , , , , , , , , , , , , , 
"12","0", , , , , , , , , , , , , , , , , 
"13","0", , , , , , , , , , , , , , , , , 
"14","0", , , , , , , , , , , , , , , , , 
"15","0", , , , , , , , , , , , , , , , , 
"16","0", , , , , , , , , , , , , , , , , 
"17","0", , , , , , , , , , , , , , , , , 
"18","0", , , , , , , , , , , , , , , , , 
"19","0", , , , , , , , , , , , , , , , , 
